graph_type,query_id,src,dst,reachable,path_length,path_cost,unsupported_edge_fraction,incompatible_edge_fraction,bottleneck_edge_fraction,mean_edge_proxy_score,min_edge_proxy_score,proxy_path_success,uses_unsupported_shortcut,path_nodes
kNN_graph,26,327,507,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,27,390,300,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,28,39,36,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,29,147,395,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,30,184,40,True,6,24.13596717396471,0.6666666666666666,0.8,0.3333333333333333,0.11459965966727904,0.0,0.0,True,184 176 30 430 3 206 40
kNN_graph,31,39,208,True,3,12.11952286093344,0.6666666666666666,1.0,0.0,0.08292789235665006,0.0,0.0,True,39 252 84 208
kNN_graph,32,432,48,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,33,97,400,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,34,401,301,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,35,67,256,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,36,443,446,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,37,257,214,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,38,246,495,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,39,471,261,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,40,494,45,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,41,117,182,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,42,453,511,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,43,152,51,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,44,441,326,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,45,423,254,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,46,147,26,True,4,15.371255166989105,0.25,0.6666666666666666,0.25,0.11299761291161697,0.0,0.0,True,147 309 10 497 26
kNN_graph,47,97,484,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,48,327,458,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,49,385,308,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,50,39,73,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,51,366,5,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,52,231,355,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,53,67,399,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,54,420,267,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,55,394,399,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,56,280,494,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,57,389,319,True,7,19.6845571419605,0.2857142857142857,0.6666666666666666,0.5714285714285714,0.17636776203796384,0.0,0.0,True,389 39 199 139 175 61 21 319
kNN_graph,58,10,239,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,59,260,247,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,60,352,293,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,61,441,458,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,62,394,46,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,63,48,462,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,64,143,271,True,6,19.800766986093233,0.6666666666666666,1.0,0.16666666666666666,0.0,0.0,0.0,True,143 252 30 328 146 164 271
kNN_graph,65,494,434,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,66,327,7,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,67,401,377,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,68,62,509,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,69,436,343,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,70,509,385,True,2,8.105999788000636,0.5,1.0,0.5,0.1314582223936538,0.0,0.0,True,509 316 385
kNN_graph,71,142,473,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,72,252,244,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,73,372,480,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,74,62,505,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,75,287,188,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,76,366,117,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,77,455,356,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,78,62,241,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,79,62,467,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,80,352,335,True,9,32.263410993838185,0.3333333333333333,0.875,0.5555555555555556,0.1132392273745147,0.0,0.0,True,352 167 161 157 88 233 261 126 144 335
kNN_graph,81,115,94,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,82,327,288,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,83,352,37,True,5,16.149997546958847,0.4,1.0,0.4,0.06218984993232216,0.0,0.0,True,352 167 509 316 24 37
kNN_graph,84,62,293,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,85,161,194,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,86,327,98,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,87,352,185,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,88,391,448,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,89,117,197,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,90,494,172,True,4,14.496171713264058,0.25,0.6666666666666666,0.0,0.22673656788214336,0.0,0.0,True,494 317 462 288 172
kNN_graph,91,152,246,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,92,7,349,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,93,478,261,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,94,436,332,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,95,440,117,True,3,12.0,1.0,1.0,0.0,0.0,0.0,0.0,True,440 79 80 117
kNN_graph,96,230,129,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,97,287,349,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,98,287,249,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,99,390,467,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,0,229,404,True,2,8.0,1.0,1.0,0.0,0.0,0.0,0.0,True,229 120 404
random_graph,1,7,380,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,2,401,477,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,3,315,106,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,4,428,224,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,5,327,27,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,6,55,461,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,7,64,67,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,8,440,380,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,9,0,470,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,10,480,240,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,11,67,207,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,12,152,177,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,13,5,53,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,14,214,96,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,15,338,321,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,16,352,59,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,17,475,393,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,18,84,119,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,19,385,369,True,3,12.0,1.0,1.0,0.0,0.0,0.0,0.0,True,385 50 313 369
random_graph,20,402,500,True,1,4.0,1.0,0.0,0.0,0.0,0.0,0.0,True,402 500
random_graph,21,389,98,True,3,11.208514414057074,0.6666666666666666,1.0,0.0,0.08386348628790023,0.0,0.0,True,389 23 497 98
random_graph,22,372,506,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,23,311,203,True,3,12.0,1.0,1.0,0.0,0.0,0.0,0.0,True,311 297 405 203
random_graph,24,421,192,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,25,327,98,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,26,327,507,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,27,390,300,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,28,39,36,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,29,147,395,True,2,8.0,1.0,1.0,0.0,0.0,0.0,0.0,True,147 161 395
random_graph,30,184,40,True,2,8.0,1.0,1.0,0.0,0.0,0.0,0.0,True,184 487 40
random_graph,31,39,208,True,3,12.0,1.0,1.0,0.0,0.0,0.0,0.0,True,39 487 449 208
random_graph,32,432,48,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,33,97,400,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,34,401,301,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,35,67,256,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,36,443,446,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,37,257,214,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,38,246,495,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,39,471,261,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,40,494,45,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,41,117,182,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,42,453,511,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,43,152,51,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,44,441,326,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,45,423,254,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,46,147,26,True,3,12.0,1.0,1.0,0.0,0.0,0.0,0.0,True,147 23 313 26
random_graph,47,97,484,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,48,327,458,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,49,385,308,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,50,39,73,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,51,366,5,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,52,231,355,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,53,67,399,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,54,420,267,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,55,394,399,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,56,280,494,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,57,389,319,True,1,4.0,1.0,0.0,0.0,0.0,0.0,0.0,True,389 319
random_graph,58,10,239,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,59,260,247,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,60,352,293,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,61,441,458,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,62,394,46,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,63,48,462,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,64,143,271,True,2,8.0,1.0,1.0,0.0,0.0,0.0,0.0,True,143 146 271
random_graph,65,494,434,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,66,327,7,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,67,401,377,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,68,62,509,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,69,436,343,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,70,509,385,True,3,11.179605302026776,0.6666666666666666,1.0,0.3333333333333333,0.06514731657178957,0.0,0.0,True,509 332 389 385
random_graph,71,142,473,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,72,252,244,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,73,372,480,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,74,62,505,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,75,287,188,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,76,366,117,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
random_graph,77,455,356,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
